alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Pain panini;264,140;7,66;55,9;1,1
Bagel;262,060;9,26;47,3;3,98
Crème brûlée, rayon frais;271,440;4,46;16,6;20,8
Spécialité végétale type fromage en tranche ou râpé, sans soja, préemballée;265,700;0,000;21,2;20,1
Croque-monsieur, préemballé;268,500;11,3;26,8;12,9
Agneau, côte ou côtelette, crue (aliment moyen);272,280;16,3;0,92;22,6
Chair à saucisse, pur porc, crue;273,400;15,4;5,25;21,2
Confit de canard;272,600;25,7;0,15;18,8
Profiteroles (crème pâtissière et sauce chocolat), préemballées;269,040;5,51;34,3;12,2
Quiche lorraine, préemballée;271,040;8,96;21;16,8
Sandwich baguette, thon, crudités (tomate, salade), mayonnaise;270,900;10,3;32;11,3
Pain de mie, multicéréale;258,330;8,81;43,6;5,41
Saucisse de Toulouse, cuite;274,100;18,8;0;22,1
Rocamadour (fromage de chèvre);275,000;17,9;0,000;22,6
Pastis;11,440;0;2,86;0
Lardon fumé, cru;274,040;16,7;0,96;22,6
Accra de poisson;268,400;12,4;15,1;17,6
Dessert glacé type mystère ou vacherin;271,020;3,18;40,5;10,7
Paupiette de veau, préemballée,  cuite au four;274,420;22;0,48;20,5
Pizza type raclette ou tartiflette, préemballée;271,500;11,8;27,5;12,7
Pain (aliment moyen);264,930;8,21;54,4;1,61
Agneau, côte première, crue;275,500;16,9;0;23,1
Chaource;275,300;17,3;0,000;22,9
Fromage de brebis à pâte molle et croûte fleurie;276,900;16,8;0,000;23,3
Marjolaine, séchée;195,360;12,7;20,3;7,04
Sandwich baguette (aliment moyen);274,800;11,2;31,4;11,6
Escargot en sauce au beurre persillé, préemballé, cuit;273,940;12,9;2,26;23,7
Chevrot (fromage de chèvre);279,200;18,5;0,000;22,8
Sauce au chocolat, préemballée;271,200;3,8;26,2;16,8
Hot-dog, préemballé;273,000;10,9;26,3;13,8
Pain de mie, au son;260,860;6,84;46;5,5
Pain de mie, courant;270,120;7,13;52,3;3,6
Cervelas;277,040;11,9;1,56;24,8
Gélifiant pour confitures;248,000;0;62;0
Pain, baguette, de tradition française;268,000;8,15;56,6;1
Pain, baguette, sans sel;270,900;8,3;56,5;1,3
Pâte à pizza fine, crue;272,330;7,71;44,6;7,01
Galantine (aliment moyen);277,680;15,2;1,57;23,4
Coulommiers;280,400;18,8;0,000;22,8
Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé;280,600;19,3;0,000;22,6
Chewing-gum, teneur en sucre inconnue (aliment moyen);335,810;0,53;82,5;0,41
Son de blé;195,150;15,4;23,6;4,35
Champignon de Paris ou champignon de couche, cru;26,320;2,62;3,15;0,36
Haricot vert, bouilli/cuit à l'eau;20,560;1,75;3,39;0,000
Épinard, bouilli/cuit à l'eau;19,820;3,38;0,000;0,7
Poivron vert, sauté/poêlé sans matière grasse;21,820;1,25;3,53;0,3
Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau;24,910;2,17;3;0,47
Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau);26,480;0,56;6,06;0,000
Tarte à l'oignon, préemballée;276,800;7;23,5;17,2
Saucisson à l'ail;278,920;15;1,63;23,6
Camembert, sans précision;280,500;19,5;0,000;22,5
Saint-Marcellin;279,100;15,1;0,000;24,3
Saucisse (aliment moyen);279,720;17,3;0,88;23
Terrine de lapin;279,480;16,5;5,67;21,2
Langres;281,000;16,7;0,000;23,8
Saint-Félicien;280,400;13,4;0,000;25,2
Sandwich baguette, merguez, ketchup moutarde;279,000;13,1;31;11,4
Chipolata, cuite;280,000;18,8;0,8;22,4
Langoustine, panée, frite;282,000;10,9;29;13,6
Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse;284,400;30,6;0,000;18
Pâtes fraîches, aux oeufs, crues;272,430;10,1;53,8;1,87
Khatfa feuille de brick, préemballée;277,500;7;59;1,5
Merguez, boeuf et mouton, cuite;282,600;19,8;1,8;21,8
Fromage type feta, au lait de vache, à l'huile et aux aromates;281,640;17,6;0,16;23,4
Menthe, séchée;222,670;19,9;22,2;6,03
Herbes de Provence, séchées;202,800;11,5;23;7,2
Moules farcies (matière grasse, persillade…), préemballées, crues;279,160;9,56;4,43;24,8
Nuggets de blé (sans soja), préemballé;274,100;12,6;22,4;14,9
Pissaladière, préemballée;278,700;6,4;33,8;13,1
Canard, viande et peau, cru;284,000;17,4;2,75;22,6
Coppa;284,000;25;1;20
Pâté de gibier;283,000;15;4;23
Sandwich baguette, jambon emmental, préemballé;278,700;13,3;26,9;13,1
Sandwich baguette, jambon, beurre;278,020;9,93;33,7;11,5
Pomme de terre dauphine, surgelée, crue;280,180;4,62;25,6;17,7
Frites de pommes de terre, surgelées, cuites en friteuse;277,820;3,28;39,4;11,9
Pain pour hamburger ou hot dog (bun), complet, préemballé;272,510;8,89;46,3;5,75
Fromage de chèvre bûche;284,900;18,8;0,000;23,3
Feta AOP;281,700;15,1;0,65;24,3
Thym, séché;210,910;9,11;26,9;7,43
Pollen,frais;267,330;17,5;37,7;5,17
Sandwich baguette, jambon, emmental, beurre;277,700;12,2;32,7;10,9
Profiterole avec glace vanille et sauce chocolat;281,220;5,38;31,4;14,9
Pain, baguette, courante;278,880;8,27;58,3;1,4
Boeuf, plat de côtes, cru;286,900;18,4;0;23,7
Mousse de foie de porc;285,660;12;3,39;24,9
Neufchâtel;289,100;18,5;0,000;23,9
Saucisson de Paris, fumé;287,600;13,7;0,6;25,6
Brie de Melun;287,800;22;0,000;22,2
Tarte au fromage, préemballée;286,000;10,3;20,7;18
Pâte phyllo ou Pâte filo, crue;285,600;7,1;50,8;6
Soupe de poissons et / ou crustacés, déshydratée reconstituée;28,500;0,91;5,09;0,5
Radis noir, cru;25,840;0,94;5,52;0,000
Céleri-rave, cru;21,440;1,38;3,98;0,000
Haricot vert, cuit;21,530;2;3;0,17
Ciboule ou Ciboulette, fraîche;23,360;2,57;2,1;0,52
Soupe asiatique, avec pâtes, déshydratée reconstituée;28,840;0,97;5,25;0,44
Crudité, sans assaisonnement (aliment moyen);22,340;0,94;3,07;0,7
Feuilleté ou Friand jambon fromage;286,940;8,46;25,7;16,7
Saucisse cocktail;289,740;12,7;1,46;25,9
Époisses;291,700;17,8;0,000;24,5
Saucisse de Strasbourg ou Knack;288,260;12,4;1,39;25,9
Selles-sur-Cher (fromage de chèvre);291,900;19,2;0,000;23,9
Curcuma, poudre;245,570;9,68;44,4;3,25
Persil, séché;231,260;29;16,8;5,34
Sandwich pain de mie complet, jambon, fromage, préemballé;287,400;12,9;26,1;14,6
Bouchée à la reine, à la viande/volaille/quenelle;288,580;6,12;23,5;18,9
Pâté en croûte;289,500;11;22,9;17,1
Fromage de chèvre à pâte molle et croûte fleurie type camembert;293,800;19,9;0,000;23,8
Pain pour hamburger ou hot dog (bun), préemballé;283,230;9,07;49,7;5,35
Porc, maigre 80/20, cru;292,540;17,3;0,26;24,7
Maquereau, fumé;293,900;18,8;0;24,3
Sainte-Maure de Touraine (fromage de chèvre);296,200;19,6;0,000;24,2
Chabichou (fromage de chèvre);296,200;20,5;0,000;23,8
Pouligny Saint-Pierre (fromage de chèvre);296,100;18,9;0,000;24,5
Porc, échine, rôtie/cuite au four;295,600;26,2;0,000;21,2
Crottin de Chavignol (fromage de chèvre);298,400;19,7;0,000;24,4
Café, poudre soluble;257,900;19,4;42,6;1,1
Cervelas à l'ail, pur porc;297,400;12,5;0,2;27,4
Mortadelle, porc et boeuf;297,000;16,4;0,7;25,4
Brie, sans précision;298,700;17,3;0,000;25,5
Crème de lait, 30% MG, semi-épaisse, UHT;294,020;2,49;1,94;30,7
Sandwich baguette, pâté, cornichons;293,900;10,1;32,1;13,9
Oie, viande et peau, rôtie/cuite au four;297,900;25,2;0;21,9
Mortadelle, pur porc;297,600;14,8;1,55;25,8
Fruit confit;289,200;0,000;72,3;0,000
Double cheeseburger, provenant de fast food;298,300;15,5;21,5;16,7
Chou rouge, cru;21,840;1,13;4,33;0,000
Chou-fleur, cuit à la vapeur;26,580;2,56;3,41;0,3
Potiron, rôti/cuit au four;22,640;0,000;5,66;0,000
Soupe au pistou, déshydratée reconstituée;28,750;1,2;5,2;0,35
Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau;25,260;2,25;3,39;0,3
Poivron jaune, cru;25,380;0,94;4,73;0,3
Courge musquée, pulpe, cuite;25,200;1,06;5,24;0,000
Cola, teneur en sucre et édulcorant inconnue (aliment moyen);30,687;0,089;7,45;0,059
Soupe à la volaille et aux légumes, préemballée à réchauffer;29,960;3,09;2,6;0,8
Soupe à la volaille et aux vermicelles, préemballée à réchauffer;29,640;1,3;3,86;1
Flammenkueche ou Tarte flambée aux lardons, préemballée;295,640;8,81;31,8;14,8
Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin);301,500;19,8;0,000;24,7
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée";297,370;6,22;49,2;8,41
Feuilleté salé (aliment moyen);298,160;8,39;26,1;17,8
Livarot;301,800;24,6;0,000;22,6
Curry, poudre;194,520;14,5;2,63;14
Feuilleté ou Friand au fromage;299,300;8,25;28,1;17,1
Pomme de terre dauphine, surgelée, cuite;298,100;4,5;30,2;17,7
Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse);304,200;18,9;0,000;25,4
Andouillette, sautée/poêlée;302,700;24,5;1;22,3
Poitrine de porc, fumée, crue;300,460;15,6;0,79;26,1
Mousse au chocolat traditionnelle, préemballée;295,880;6,52;25,6;18,6
Fromage à pâte ferme, enrobé de cire;300,100;21,7;0,000;23,7
Crème de lait, 30% MG, épaisse, rayon frais;299,500;3;2,8;30,7
Cervelas obernois;303,500;13;1;27,5
Mortadelle;305,900;15;1,4;26,7
Tielle sétoise, préemballée;300,200;8,15;30,9;16
Fougasse, garnie;299,520;9,53;38,8;11,8
Valençay (fromage de chèvre);306,700;19,3;0,000;25,5
Oeuf, jaune (jaune d'oeuf), cru;306,660;15,5;1,09;26,7
Mimolette, sans précision;310,200;24,9;0,000;23,4
Crème chantilly, sous pression, UHT;304,640;2,11;10,6;28,2
Pain de mie brioché, préemballé;299,580;7,87;52,4;6,5
Farce porc et boeuf, crue;303,300;11,8;4,4;26,5
Saucisson brioché, cuit;305,800;14,7;22,6;17,4
Tomate, pulpe et peau, rôtie/cuite au four;25,440;0,88;4,13;0,6
Soupe minestrone, déshydratée reconstituée;29,740;1,14;5,53;0,34
Boisson à la noix de coco, nature, préemballée;29,900;0,000;2,75;2,1
Carotte, purée;23,760;0,88;5,06;0,000
Champignon, cèpe, cru;28,510;3,13;3,03;0,43
Carotte, bouillie/cuite à l'eau, fondante;22,920;0,000;5,73;0,000
Soupe au pistou, préemballée à réchauffer;28,900;2;4,1;0,5
Poivre blanc, poudre;257,790;11,4;48,3;2,11
Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané);312,500;20,3;0,000;25,7
Fromage fondu double crème, environ 31% MG;309,760;9,06;1,78;29,6
Gorgonzola;313,600;19;0,000;26,4
Tortilla souple (à garnir), à base de maïs;307,240;9,06;54,7;5,8
Boudin noir, à cuire;310,700;12,2;4,5;27,1
Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados);307,560;4,44;38,7;15
Tarte au maroilles ou Flamiche au maroilles, préemballée;309,500;14,1;22,1;18,3
Farine de seigle T170;262,780;15,9;44,8;2,22
Merguez, boeuf et mouton, crue;315,600;14;2,8;27,6
Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure);317,400;20,4;0,000;26,2
Picodon (fromage de chèvre);316,800;20,7;0,000;26
Champignon, lentin comestible ou shiitaké, séché;302,830;9,58;63,9;0,99
Merguez, crue;316,000;13,5;2,5;28
Pain grillé, domestique;305,540;9,46;64;1,3
Saucisse de Montbéliard;318,900;17,3;1;27,3
Paprika;248,900;14,1;19,1;12,9
Poireau, cru;27,810;1,49;4,9;0,25
Soupe froide type Gaspacho ou Gazpacho, préemballée;30,700;0,65;3,38;1,62
Carotte, surgelée, cuite;26,520;0,58;4,52;0,68
Gingembre, racine crue;27,900;1,1;3,4;1,1
Terrine de canard;314,460;13,2;4,44;27,1
Mortadelle pistachée pur porc;316,040;14,4;1,16;28,2
Fromage à pâte molle et croûte lavée (aliment moyen);320,900;20,6;0;26,5
Sauge, séchée;239,200;10,6;20,4;12,8
Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé;314,400;11,6;25,6;18,4
Feuilleté aux escargots, préemballé;318,060;6,69;23,1;22,1
Raisin, sec;312,900;3;73,2;0,9
Cardamome, poudre;265,500;10,8;40,5;6,7
Mousse de foie de porc supérieure ou Crème de foie;320,500;11,1;10,3;26,1
Chorizo supérieur, doux ou fort, type charcuterie en tranches;313,900;22,6;2,1;23,9
Saucisson cuit pur porc;321,400;13,8;1,3;29
Frik (blé dur immature concassé), cru;281,930;9,62;55,8;2,25
Porc, poitrine cutter, sans mouille, crue;322,780;15,9;0,22;28,7
Chair à saucisse, crue;323,100;14,7;0,6;29,1
Saucisse de Morteau, bouillie/cuite à l'eau;322,700;15,2;0;29,1
Pâté ou terrine de campagne;321,800;15,5;1,5;28,2
Lait concentré sucré, entier;324,030;7,7;55,6;7,87
Chicorée, poudre soluble;264,500;3,3;57,2;2,5
Pâte à pizza cuite;316,100;7,75;55,3;7,1
Lardon nature, cuit;323,700;23,8;2;24,5
Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine);325,800;20,7;0,000;27
Marron glacé;321,760;0,94;79,5;0,000
Pâté (aliment moyen);323,940;13,6;4,61;27,9
Maroilles, sans précision;325,200;21,9;0,000;26,4
Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal;325,400;0,1;2,5;35
Pont l'Évêque;326,600;22,7;0,000;26,2
Reblochon;328,200;20,4;0,000;27,4
Fourme d'Ambert;328,000;19,9;0,000;27,6
Fenouil, graine;246,900;15,7;12,5;14,9
Tortilla souple (à garnir), à base de blé;315,560;8,34;52,1;8,2
Saucisse de Toulouse, crue;326,800;13,2;1;30
Carré de l'Est;328,600;21,4;0,000;27
Saint-Paulin (fromage à pâte pressée non cuite demi-ferme);326,800;22,3;0,000;26,4
Liqueur;161,500;0,1;39,6;0,3
Glace ou crème glacée, bâtonnet, enrobé de chocolat;325,480;3,42;33,4;19,8
Romarin, séché;242,320;4,88;21,5;15,2
Pâté ou terrine aux champignons (forestier);327,020;12,6;5,93;28,1
Edam;331,500;25,5;0,000;25,5
Champignon, chanterelle ou girolle, crue;25,340;2,28;2,3;0,78
Soupe à la carotte, préemballée à réchauffer;30,690;0,61;3,89;1,41
Soupe aux légumes verts, préemballée à réchauffer;31,240;1;3,84;1,32
Lait écrémé, UHT;33,140;3,51;4,64;0,06
Lait fermenté à boire, nature, maigre;28,160;3,51;2,18;0,6
Tomate cerise, crue;27,720;1,31;5,62;0,000
Aubergine, pulpe et peau, rôtie/cuite au four;20,560;1,31;3,83;0,000
Bretzel, pain frais;319,020;9,18;54,6;7,1
Cheesecake ou Gâteau au fromage frais, préemballé;327,780;4,57;31,7;20,3
Poivre noir, poudre;278,700;13,3;39,5;7,5
Canard, viande et peau, rôti/cuit au four;331,600;19;0;28,4
Mimolette jeune;333,400;28,9;0,000;24,2
Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée;333,800;18,2;0,000;29
Saint-Nectaire, laitier;334,200;22,8;0,000;27
Chicorée et café, poudre soluble;307,950;9,3;66,9;0,35
Olive noire, à l'huile (à la grecque);308,460;2,19;0,000;33,3
Canneberge ou cranberry, séchée, sucrée;314,600;0,000;76,4;1
Porc, travers, braisé;332,320;23,1;0,13;26,6
Fromage à pâte molle et croûte fleurie double crème environ 30% MG;334,600;17,5;0,000;29,4
Fromage bleu au lait de vache;334,300;19,9;0,000;28,3
Pain aux raisins (viennoiserie);325,040;5,11;55,9;9
Orge entière, crue;295,500;12,5;56,2;2,3
Seigle entier, cru;301,050;9,83;61;1,97
Carvi, graine;258,200;19,8;11,9;14,6
Levure alimentaire;289,300;40,4;21,8;4,5
Gingembre, poudre;307,280;8,98;58,3;4,24
Clou de girofle;267,280;5,97;31,6;13
Pâtes sèches standard, crues;325,310;11,5;65,8;1,79
Pâte de fruits;329,360;1,69;76,6;1,8
Fromage (aliment moyen);336,040;21,8;0,56;27,4
Maroilles laitier;339,400;22,3;0,000;27,8
Chausson aux pommes;331,380;4,17;36,6;18,7
Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux;283,500;14;49;3,5
Sandwich baguette, camembert, beurre;335,100;11,9;34,3;16,7
Farine d'orge;318,340;9,91;64,5;2,3
Poulet, escalope panée;331,800;7,25;21,7;24
Soupe au cresson, préemballée à réchauffer;32,800;1;5,4;0,8
Haricot vert, surgelé, cru;26,810;1,97;4,35;0,17
Légumes pour potages, surgelés, crus;28,480;1,44;4,69;0,44
Soupe marocaine, déshydratée reconstituée;32,830;1,2;5,77;0,55
Soupe aux légumes variés, déshydratée reconstituée;32,140;0,86;4,43;1,22
Lait écrémé, pasteurisé;34,790;3,28;4,99;0,19
Haricot beurre, bouilli/cuit à l'eau;29,260;2,19;4,45;0,3
Bière blanche;1,720;0,000;0,43;0,000
Soupe aux légumes verts, déshydratée reconstituée;33,750;0,72;5,31;1,07
Basilic, frais;27,830;3,35;2,55;0,47
Chou rouge, cuit à l'étouffée;27,560;1,19;5,7;0,000
Canard, magret, cru;339,600;17,9;0,85;29,4
Rillettes de poulet;340,260;16,4;0,49;30,3
Oeuf, jaune (jaune d'oeuf), cuit;340,140;16;1,31;30,1
Crottin de chèvre, sans précision;341,600;22,4;0,000;28
Provolone;341,800;25,6;0,000;26,6
Pâté de foie de porc, supérieur;340,600;13;2,4;31
Biscuit sec (génoise) nappage aux fruits, type barquette;334,260;4,44;74,4;2,1
Fond de volaille pour sauces et cuisson, déshydraté;338,900;7,4;66,3;4,9
Brick au boeuf;328,600;10,4;33,5;17
Blé de Khorasan, cru;315,170;14,5;59,5;2,13
Farine de blé tendre ou froment T150;318,880;11,4;64,9;1,52
Pancetta ou Poitrine roulée sèche;343,000;20,2;0,75;28,8
Fromage bleu de Bresse;344,100;17,4;0,000;30,5
Raclette (fromage);341,100;23,4;0,000;27,5
Blé dur entier, cru;318,160;12,1;62,4;2,24
Farine de blé tendre ou froment T110;326,340;9,61;68,6;1,5
Amidon de riz;342,400;0,6;85;0
Pélardon (fromage de chèvre);345,400;23,8;0,000;27,8
Fromage bleu d'Auvergne;345,200;22,4;0,000;28,4
Fond de veau pour sauces et cuisson, déshydraté;338,600;8,5;59,5;7,4
Blé dur précuit, grains entiers, cuisiné, à poêler;327,510;11,1;67,2;1,59
Épeautre, cru;318,270;14,6;59,5;2,43
Riz sauvage, cru;329,660;11,1;69,2;0,94
Vermicelle de soja, sèche;340,060;0,000;84,7;0,14
Farine de seigle T85;327,610;8,12;70,7;1,37
Farine de seigle T130;322,640;7,24;70,9;1,12
Munster;345,800;21,2;0,000;29
Saint-Nectaire, sans précision;345,600;22,5;0,000;28,4
Ail séché, poudre;324,930;16,7;62,8;0,77
Son (aliment moyen);301,610;15,7;46;6,09
Maïs entier, cru;334,500;8,1;67,2;3,7
Orge perlée, crue;324,480;9,91;68,6;1,16
Farine de blé tendre ou froment T65;333,800;13,6;67,6;1
Confit de foie de porc;345,400;16;14,1;25
Saucisson de Paris;346,700;12,5;0,6;32,7
Brioche fourrée aux fruits, préemballée;338,500;6,9;50,5;12,1
Coriandre, graine;261,800;12,4;13;17,8
Epice (aliment moyen);293,600;12,3;37,7;10,4
Feuilleté ou Friand à la viande, préemballé;345,360;9,59;25,9;22,6
Fécule de pomme de terre;347,000;0;86,3;0,2
Farine de sarrasin;339,310;11,5;68,4;2,19
Brioche (ou briochettes) aux pépites de chocolat, préemballée;341,440;8,56;51,6;11,2
Quatre épices;304,570;6,09;50,5;8,69
Gélatine, sèche;348,500;86,9;0;0,1
Sorgho entier, cru;335,140;10,6;65,4;3,46
Maroilles fermier;350,300;21,2;0,000;29,5
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3;349,200;0;0;38,8
Bambou, pousse, crue;32,200;2,52;5,08;0,2
Soupe aux asperges, déshydratée reconstituée;34,750;0,6;5,14;1,31
Cidre aromatisé (framboise);21,360;0,000;5,34;0,000
Carotte, bouillie/cuite à l'eau, croquante;28,320;0,75;6,33;0,000
Poivron rouge, sauté/poêlé sans matière grasse;29,880;0,94;6,53;0,000
Chou romanesco ou brocoli à pomme, cuit;27,320;3;2,03;0,8
Poivron jaune, sauté/poêlé sans matière grasse;30,720;1;5,33;0,6
Soupe au potiron, préemballée à réchauffer;33,240;0,67;4,13;1,56
Riz complet, cru;338,880;7,02;71,4;2,8
Polenta ou semoule de maïs, précuite, sèche;343,720;7,88;74;1,8
Farine de blé tendre ou froment T55 (pour pains);339,920;9,03;73,7;1
Farine de blé tendre ou froment avec levure incorporée;341,480;9,12;74;1
Farine de millet;330,500;10,2;63,2;4,1
Fromage bleu des Causses;351,600;20,4;0,000;30
Tomme ou tome de vache;351,000;21,6;0,000;29,4
Fenugrec, graine;301,290;27,1;33,8;6,41
Boulgour de blé, cru;328,590;11,5;66,8;1,71
Salami porc et boeuf;351,440;21,5;1,56;28,8
Brioche fourrée au chocolat;347,080;7,47;53,2;11,6
Riz blanc, cru;348,350;7,04;78;0,91
Riz rouge, cru;341,280;7,97;70,6;3
Semoule de blé dur, crue;341,250;10,9;71,6;1,25
Farine d'épeautre (grand épeautre);328,600;11,4;64;3
Safran;344,250;11,4;61,5;5,85
Riz thaï ou basmati, cru;349,440;7,67;77,8;0,84
Pâtes sèches, au blé complet, crues;337,400;11,8;67,6;2,2
Fromage de chèvre demi-sec;354,600;21,6;0,000;29,8
Laurier, feuille;300,080;7,61;48,6;8,36
Tapioca ou Perles du Japon, cru;352,140;0,19;87,8;0,02
Mélange de céréales et légumineuses, cru;326,800;13,7;59;4
Brioche, préemballée;349,520;8,13;52,7;11,8
Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru;349,960;7,14;78,1;1
Farine de blé tendre ou froment T80;343,220;9,95;73,2;1,18
Pâté de foie de porc;354,540;10,8;2,91;33,3
Boulette d'Avesne;353,600;20,9;0,000;30
